(base) kacper@macbook-pro-kacper-3 NYPD_project_final % python main.py /Users/kacper/Desktop/NYPD_project_final/data /Users/kacper/Desktop/NYPD_project_final/results
Analysis complete. Results have been saved in: /Users/kacper/Desktop/NYPD_project_final/results
         3961048 function calls (3956168 primitive calls) in 2.906 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:7(MetaStrict)
        3    0.000    0.000    0.005    0.002 __init__.py:70(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:75(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
        1    0.000    0.000    0.089    0.089 __init__.py:8(lxml_available)
        1    0.000    0.000    0.380    0.380 __init__.py:84(open_workbook)
      223    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
      432    0.002    0.000    0.010    0.000 __init__.py:9(__new__)
       18    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       19    0.000    0.000    0.000    0.000 _asarray.py:111(<setcomp>)
       19    0.000    0.000    0.000    0.000 _asarray.py:22(require)
        3    0.000    0.000    0.006    0.002 _base.py:1219(inspect_excel_format)
       15    0.000    0.000    0.000    0.000 _base.py:1263(<genexpr>)
        2    0.000    0.000    0.000    0.000 _base.py:1272(<listcomp>)
        3    0.000    0.000    1.419    0.473 _base.py:1344(__init__)
        3    0.000    0.000    1.334    0.445 _base.py:1424(parse)
        6    0.000    0.000    0.000    0.000 _base.py:1489(close)
        3    0.000    0.000    0.000    0.000 _base.py:1499(__del__)
        3    0.000    0.000    2.754    0.918 _base.py:422(read_excel)
        3    0.000    0.000    0.912    0.304 _base.py:499(__init__)
        6    0.000    0.000    0.000    0.000 _base.py:536(close)
        3    0.000    0.000    0.000    0.000 _base.py:561(raise_if_bad_sheet_by_index)
        3    0.001    0.000    1.334    0.445 _base.py:572(parse)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _chart.py:27(AxId)
        1    0.000    0.000    0.028    0.028 _chart.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _chart.py:40(ChartBase)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:156(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:280(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       34    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:767(__contains__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 _constants.py:3(<module>)
       11    0.000    0.000    0.000    0.000 _decorators.py:214(_format_argument_list)
        3    0.000    0.000    0.000    0.000 _decorators.py:248(<listcomp>)
    11/10    0.000    0.000    2.775    0.278 _decorators.py:302(wrapper)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
       80    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
